,reviews,Subjectivity,Polarity,Analysis
33,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
34,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
35,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
36,Quit working??,0.0,0.0,neutral
37,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
38,Is a excellent Amazon Alexa,1.0,1.0,Positive
39,Not working on my fire tv why,0.0,0.0,neutral
40,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
41,"Not reliable, works one day then not the next!",0.0,0.0,neutral
42,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
43,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
44,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
45,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
46,Quit working??,0.0,0.0,neutral
47,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
48,Is a excellent Amazon Alexa,1.0,1.0,Positive
49,Not working on my fire tv why,0.0,0.0,neutral
50,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
51,"Not reliable, works one day then not the next!",0.0,0.0,neutral
52,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
53,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
54,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
55,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
56,Quit working??,0.0,0.0,neutral
57,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
58,Is a excellent Amazon Alexa,1.0,1.0,Positive
59,Not working on my fire tv why,0.0,0.0,neutral
60,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
61,"Not reliable, works one day then not the next!",0.0,0.0,neutral
62,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
63,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
64,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
65,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
66,Quit working??,0.0,0.0,neutral
67,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
68,Is a excellent Amazon Alexa,1.0,1.0,Positive
69,Not working on my fire tv why,0.0,0.0,neutral
70,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
71,"Not reliable, works one day then not the next!",0.0,0.0,neutral
72,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
73,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
74,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
75,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
76,Quit working??,0.0,0.0,neutral
77,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
78,Is a excellent Amazon Alexa,1.0,1.0,Positive
79,Not working on my fire tv why,0.0,0.0,neutral
80,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
81,"Not reliable, works one day then not the next!",0.0,0.0,neutral
82,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
83,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
84,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
85,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
86,Quit working??,0.0,0.0,neutral
87,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
88,Is a excellent Amazon Alexa,1.0,1.0,Positive
89,Not working on my fire tv why,0.0,0.0,neutral
90,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
91,"Not reliable, works one day then not the next!",0.0,0.0,neutral
92,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
93,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
94,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
95,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
96,Quit working??,0.0,0.0,neutral
97,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
98,Is a excellent Amazon Alexa,1.0,1.0,Positive
99,Not working on my fire tv why,0.0,0.0,neutral
100,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
101,"Not reliable, works one day then not the next!",0.0,0.0,neutral
102,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
103,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
104,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
105,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
106,Quit working??,0.0,0.0,neutral
107,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
108,Is a excellent Amazon Alexa,1.0,1.0,Positive
109,Not working on my fire tv why,0.0,0.0,neutral
110,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
111,"Not reliable, works one day then not the next!",0.0,0.0,neutral
112,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
113,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
114,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
115,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
116,Quit working??,0.0,0.0,neutral
117,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
118,Is a excellent Amazon Alexa,1.0,1.0,Positive
119,Not working on my fire tv why,0.0,0.0,neutral
120,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
121,"Not reliable, works one day then not the next!",0.0,0.0,neutral
122,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
123,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
124,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
125,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
126,Quit working??,0.0,0.0,neutral
127,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
128,Is a excellent Amazon Alexa,1.0,1.0,Positive
129,Not working on my fire tv why,0.0,0.0,neutral
130,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
131,"Not reliable, works one day then not the next!",0.0,0.0,neutral
132,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
133,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
134,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
135,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
136,Quit working??,0.0,0.0,neutral
137,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
138,Is a excellent Amazon Alexa,1.0,1.0,Positive
139,Not working on my fire tv why,0.0,0.0,neutral
140,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
141,"Not reliable, works one day then not the next!",0.0,0.0,neutral
142,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
143,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
144,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
145,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
146,Quit working??,0.0,0.0,neutral
147,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
148,Is a excellent Amazon Alexa,1.0,1.0,Positive
149,Not working on my fire tv why,0.0,0.0,neutral
150,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
151,"Not reliable, works one day then not the next!",0.0,0.0,neutral
152,"I love Alexa dot, she reminds me when to take my meds, wakes me up in the morning. Makes calls for me, just say drop in to  name. Alexa sounds like a real person, I say Thank you and she replys you bet.She recognizes our voices,easy to use. And informs us when a package is at our front door. Can't do without her.",0.45,0.35,Positive
153,"Given th high amount of functions this app offers, it is still very straightforward to use. Love it, I'm sure Alexa does too :D",0.5860648148148148,0.4579166666666667,Positive
154,"Alexa app is inconsistent in performance. Needs work. Can use only basic stuff, time, alarm weather.  News is always one day behind. Can not  search the web for current info.",0.55625,-0.1,Negative
155,Can see can feed on echo but stopped working recently on fire tablet. Getting live view not supported message,0.375,0.06818181818181818,Positive
156,Quit working??,0.0,0.0,neutral
157,Alexa displays red and tries to set up but fails now for days. There is not APP anywhere for Windows 10.,0.2333333333333333,-0.19999999999999998,Negative
158,Is a excellent Amazon Alexa,1.0,1.0,Positive
159,Not working on my fire tv why,0.0,0.0,neutral
160,I found this very easy to set up. I like the first one so much that I ended up getting two more when Amazon had them on special. I now have three. I configured them singly two of them upstairs and then later the third one down stairs. I do get frustrated that they don't always do what I tell them to do. For instance if I asked that a song be skipped it gets Alexa gets confused. One of them will do it in the other two won't. Or worse I will tell Alexa to shut the music down and one will and the others won't. I find myself wanting to argue with them like they are teenagers. I know that's a rational so I don't but that is the frustrating thing. On the other hand the sound is great I love that I can set timers I can ask what time it is what the weather is like and so forth right when I'm in the middle of cooking or doing a project. Very very convenient. Now that it's summer I can put them in the window sills and sit out at the fire pit and control music from there. Not as good as having the trees wired but pretty close. I'm an old person so if I'm enjoying them this much I'm sure you will too,0.4633862433862434,0.1345796590241035,Positive
161,"Not reliable, works one day then not the next!",0.0,0.0,neutral
